西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201509	000116 	日盛證券    	            .50	           1.85	           2.66	          18.62	              -	              -	      577797.00	      848558.00	          88.37	            .46	          23.51	         -12.74	              -	         169.95	          53.55	Y
201509	000930 	華南永昌證券	            .32	           1.43	           2.18	          14.36	              -	              -	      256190.00	      451670.00	          88.68	            .35	          18.97	         -15.50	              -	         137.79	          65.22	Y
201509	000960 	富邦證券    	            .47	           1.57	           2.53	          18.66	              -	              -	      788382.00	     1186577.00	          90.00	            .38	          19.56	          -6.19	              -	         151.21	          61.75	Y
201509	0009A0 	永豐金證券  	            .42	           1.28	           2.75	          15.35	              -	              -	      687837.00	     1414668.00	          77.16	            .33	          18.63	         -12.66	              -	         123.15	          77.59	Y
201509	1101   	台泥        	           1.08	           4.30	           2.94	          29.65	           1.12	    69118302.00	     4691790.00	    12786973.00	          14.59	            .78	           8.51	         -22.06	         -46.01	         128.28	          46.88	Y
201509	1102   	亞泥        	           1.41	           3.18	           2.74	          42.03	            .77	    49106309.00	     4406554.00	    10657076.00	          10.04	            .75	          10.36	         -14.19	         -37.55	          93.78	          44.28	Y
201509	1103   	嘉泥        	           -.62	           1.63	          -2.30	          19.21	            .63	     1629117.00	     -384582.00	       55136.00	          -6.70	            .69	         -18.89	         -30.53	        -185.56	         469.63	          52.40	Y
201509	1104   	環泥        	           1.46	           5.63	           5.73	          25.19	            .82	     3770779.00	      909732.00	     1099366.00	           9.52	            .73	          26.07	         -11.12	          -7.38	         126.24	          19.00	Y
201509	1108   	幸福        	           1.01	          10.33	           9.35	          11.71	            .88	     3758412.00	      399494.00	      847325.00	          20.02	            .75	          14.38	            .90	          39.45	         265.38	          40.51	Y
201509	1109   	信大        	           -.09	           2.04	          -1.51	          14.35	            .79	     3204963.00	     -101495.00	      187371.00	           8.96	            .59	          -1.70	         -11.69	         -60.96	         185.46	          30.39	Y
201509	1110   	東泥        	            .21	            .86	           1.40	          15.03	           1.01	     1317215.00	      122288.00	      140982.00	           8.20	            .94	           8.92	          -7.67	         -26.89	         651.35	           6.86	Y
