西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201506	000116 	日盛證券    	            .34	           1.27	           1.81	          18.38	              -	              -	      390565.00	      590496.00	          88.90	            .50	          25.06	         -16.95	              -	         166.04	          54.94	Y
201506	000930 	華南永昌證券	            .34	           1.35	           2.32	          14.64	              -	              -	      274659.00	      413249.00	          90.06	            .46	          25.77	         -11.66	              -	         142.97	          62.15	Y
201506	000960 	富邦證券    	            .33	           1.12	           1.78	          18.71	              -	              -	      555307.00	      854506.00	          90.42	            .45	          21.13	         -10.67	              -	         150.13	          62.51	Y
201506	0009A0 	永豐金證券  	            .40	           1.06	           2.62	          15.27	              -	              -	      654130.00	     1219575.00	          78.60	            .39	          26.38	         -12.22	              -	         120.85	          79.30	Y
201506	1101   	台泥        	            .83	           3.07	           2.37	          29.69	           1.31	    46434327.00	     3702363.00	     9197420.00	          14.60	            .83	          10.15	         -20.75	         -43.54	         121.14	          49.66	Y
201506	1102   	亞泥        	           1.39	           2.79	           2.85	          41.62	            .88	    31141979.00	     4576251.00	     8835701.00	          10.63	            .78	          15.89	         -13.88	         -37.85	          85.45	          44.08	Y
201506	1103   	嘉泥        	           -.12	            .62	           -.37	          23.85	            .61	     1189281.00	      -67606.00	      261187.00	          -5.92	            .66	           -.68	         -26.22	        -163.31	         382.50	          44.99	Y
201506	1104   	環泥        	            .98	           3.79	           3.88	          24.86	           1.06	     2558276.00	      611669.00	      745200.00	           8.43	            .89	          26.25	          -9.78	         -14.00	         129.33	          21.11	Y
201506	1108   	幸福        	            .78	           7.60	           7.43	          11.48	            .92	     2637263.00	      308860.00	      635711.00	          21.96	            .76	          16.34	           5.49	          58.25	         235.15	          43.98	Y
201506	1109   	信大        	           -.01	           1.83	           -.42	          13.84	            .88	     2036821.00	      -29225.00	      165562.00	          10.00	            .69	            .26	         -23.57	         -65.91	         287.58	          24.26	Y
201506	1110   	東泥        	            .11	            .68	            .69	          15.41	            .98	      922518.00	       60897.00	       70638.00	           8.92	            .90	           6.04	          -4.53	         -31.95	         465.86	           7.89	Y
201506	1201   	味全        	          -1.19	            .57	          -5.72	          14.16	           1.35	     9549579.00	     -605977.00	       82624.00	          26.45	            .75	          -7.36	         -31.77	         -40.99	          94.27	          72.92	Y
201506	1203   	味王        	            .85	           5.33	           6.21	          17.62	           1.32	     3283134.00	      316442.00	      507110.00	          23.79	            .70	          12.52	           7.42	           4.06	         228.74	          39.08	Y
201506	1210   	大成        	            .37	           3.40	           1.19	          19.31	           1.21	    38795605.00	      229104.00	     1265254.00	           9.86	            .69	           1.12	         -12.65	         -10.02	         130.45	          52.04	Y
201506	1213   	大飲        	            .22	           3.24	           1.69	          13.09	           1.62	      346477.00	       11316.00	       26583.00	          16.38	           1.30	           4.37	           6.87	          23.46	         344.48	          19.46	Y
201506	1215   	卜蜂        	           1.14	           6.04	           5.49	          18.64	           1.27	     7937950.00	      287105.00	      557517.00	          11.26	            .93	           4.83	          -6.26	         -11.47	         124.09	          43.83	Y
