20151026	1432   	大魯閣              	   -.4843	      240	    .00	   1.60	  18.75	   20.60
20151026	1434   	福懋                	   2.8855	     2963	  16.37	   1.10	   1.23	   33.40
20151026	1435   	中福                	    .0000	       16	    .00	    .73	  24.28	    4.95
20151026	1436   	華友聯              	   1.2453	       46	  32.58	   1.24	   4.36	   40.40
20151026	1437   	勤益控              	    .8403	     1140	  32.30	    .52	   2.66	   11.95
20151026	1438   	裕豐                	  -2.2336	        7	  28.65	    .91	  14.15	    4.87
20151026	1439   	中和                	   1.1429	       17	 220.00	    .61	   2.82	   13.20
20151026	1440   	南紡                	   -.3170	     1380	  30.29	   1.06	   1.17	   15.75
20151026	1441   	大東                	   1.9570	      291	    .00	    .83	    .35	    7.74
20151026	1442   	名軒                	    .8011	      109	   7.90	   1.06	   2.55	   18.80
20151026	1443   	立益                	  -1.5842	       20	    .00	    .55	    .44	    5.01
20151026	1444   	力麗                	  -3.3198	     3665	  24.95	    .81	    .82	    9.48
20151026	1445   	大宇                	    .4090	      370	  28.00	    .70	    .72	    9.80
20151026	1446   	宏和                	  -1.2331	      152	    .00	   1.52	   3.21	   20.15
20151026	1447   	力鵬                	  -1.0582	      832	  37.60	    .85	    .43	    9.40
20151026	1449   	佳和                	    .6601	      607	    .00	    .96	    .28	    7.60
20151026	1451   	年興                	   -.9132	       69	  22.71	    .95	    .68	   21.80
20151026	1452   	宏益                	  -1.1236	     2435	  10.37	   1.49	   1.62	   26.55
20151026	1453   	大將                	  -1.1655	       77	  16.09	    .74	   1.74	    8.53
20151026	1454   	台富                	    .0000	      245	  13.10	    .86	    .66	   10.35
20151026	1455   	集盛                	  -1.7303	     4401	  23.19	    .79	    .35	    9.74
20151026	1456   	怡華                	    .0000	        0	    .00	   1.23	   1.71	    5.55
20151026	1457   	宜進                	    .3565	     1889	   8.26	   1.18	   1.22	   14.05
20151026	1459   	聯發                	   1.1561	     1383	  11.97	   1.34	   1.16	   13.05
20151026	1460   	宏遠                	   -.8658	     2230	  18.55	   1.76	    .99	   17.25
20151026	1463   	強盛                	   -.3170	      172	  24.23	   1.45	   5.19	   15.75
20151026	1464   	得力                	  -1.5816	     5569	   7.70	   2.40	   1.26	   34.50
20151026	1465   	偉全                	   -.3724	       15	  16.54	    .80	    .54	   13.40
20151026	1466   	聚隆                	   1.4948	      188	 140.42	   1.02	    .40	   16.85
20151026	1467   	南緯                	    .3670	      474	  28.44	   1.24	    .39	   13.65
20151026	1468   	昶和                	    .6283	       26	    .00	   1.32	   2.73	    9.58
20151026	1469   	理隆                	   1.5873	        1	 317.50	    .84	   3.54	   12.70
20151026	1470   	大統染              	   2.9934	        2	  29.60	   1.73	   2.14	   18.65
20151026	1471   	首利                	   1.6564	      528	    .00	    .40	    .35	    4.87
20151026	1472   	三洋紡              	   4.4758	      719	    .00	   2.82	   1.20	   14.85
20151026	1473   	台南                	    .3795	       66	  29.66	   1.01	    .43	   26.40
20151026	1474   	弘裕                	    .4938	      529	  14.71	    .74	    .36	   10.15
20151026	1475   	本盟                	    .0000	        0	    .00	   1.56	   1.85	    8.16
20151026	1476   	儒鴻                	    .9489	     1243	  35.77	  13.80	   5.43	  476.50
20151026	1477   	聚陽                	    .0000	      952	  24.53	   6.38	   2.23	  248.50
20151026	1503   	士電                	    .0000	       51	  16.39	   1.01	   1.05	   40.00
20151026	1504   	東元                	   1.0657	     2773	  16.55	   1.20	   1.13	   28.30
20151026	1506   	正道                	    .9419	      114	  72.73	   1.56	   1.19	   16.00
20151026	1507   	永大                	   1.2832	      851	  10.81	   2.02	    .91	   54.90
20151026	1512   	瑞利                	    .7001	      105	    .00	    .51	    .20	    4.30
20151026	1513   	中興電              	    .5650	     1957	  11.16	   1.06	    .67	   17.75
