西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201606	000116 	日盛證券    	            .24	            .91	           1.31	          18.69	              -	              -	      284243.00	      476549.00	          86.85	            .41	          23.01	         -16.77	              -	         151.57	          61.18	Y
201606	000930 	華南永昌證券	            .17	            .83	           1.21	          14.26	              -	              -	      140926.00	      249667.00	          90.22	            .41	          14.17	          -5.95	              -	         143.09	          62.24	Y
201606	000960 	富邦證券    	            .47	           1.11	           2.46	          19.62	              -	              -	      790174.00	     1022802.00	          91.01	            .37	          25.79	           2.11	              -	         140.17	          67.17	Y
201606	0009A0 	永豐金證券  	            .38	            .77	           2.43	          15.63	              -	              -	      616831.00	      958024.00	          78.32	            .35	          19.38	          -2.38	              -	         122.90	          80.50	Y
201606	1101   	台泥        	            .60	           2.91	           1.86	          27.72	           1.16	    40666259.00	     2803459.00	     8320549.00	          16.34	            .77	           9.21	         -12.42	          -1.94	         123.71	          45.39	Y
201606	1102   	亞泥        	            .45	           2.16	           1.04	          36.48	            .76	    28108836.00	     1531817.00	     5566617.00	          12.35	            .72	           6.70	          -9.88	           4.68	          72.75	          42.91	Y
201606	1103   	嘉泥        	           -.40	            .35	          -1.84	          18.17	            .55	     1140744.00	     -252401.00	       31391.00	           1.76	            .65	         -17.25	          -3.36	         128.75	         349.02	          49.27	Y
201606	1104   	環泥        	           1.35	           4.82	           5.30	          25.27	            .86	     2325465.00	      852027.00	      981378.00	          12.63	            .74	          39.05	          -9.10	          36.15	         106.72	          21.90	Y
201606	1108   	幸福        	            .48	           5.47	           4.27	          11.53	            .88	     2107876.00	      194764.00	      428521.00	          18.27	            .74	          12.11	         -20.04	         -33.51	         224.47	          39.25	Y
201606	1109   	信大        	            .14	           2.68	            .69	          14.11	            .71	     1987953.00	       43960.00	      229070.00	          13.71	            .59	           2.94	          -2.23	          34.08	         243.59	          25.61	Y
201606	1110   	東泥        	            .24	            .35	           2.71	          15.09	           1.01	      751243.00	      235320.00	      228067.00	           7.10	            .92	          27.51	         -17.86	         -34.61	         491.79	           8.07	Y
201606	1201   	味全        	           -.86	           -.95	          -5.09	          10.39	           2.03	     7996077.00	     -442828.00	      248897.00	          27.40	            .89	          -5.29	         -16.27	         -13.27	          83.98	          78.09	Y
201606	1203   	味王        	            .79	           4.61	           4.98	          17.57	           1.25	     3088689.00	      254714.00	      399632.00	          25.26	            .68	          10.13	          -5.88	           -.06	         216.57	          39.26	Y
201606	1210   	大成        	           1.50	           5.48	           6.40	          20.45	           1.55	    36172487.00	     1244273.00	     2302187.00	          13.34	            .83	           3.90	          -6.76	          26.10	         122.05	          48.56	Y
201606	1213   	大飲        	            .21	           2.83	           1.77	          12.20	           1.42	      312873.00	       12135.00	       24046.00	          14.15	           1.15	           4.79	          -9.70	         -21.96	         344.68	          19.09	Y
201606	1215   	卜蜂        	           2.03	           9.04	          10.18	          21.17	           1.75	     8593701.00	      558577.00	      892476.00	          14.71	           1.21	           8.06	           8.26	          41.37	         101.94	          42.81	Y
201606	1216   	統一        	           1.60	           7.18	           8.93	          16.14	           3.93	   217993927.00	    13576783.00	    28470775.00	          34.43	           1.22	           8.05	            .74	           3.35	          92.46	          62.51	Y
201606	1217   	愛之味      	           -.19	            .36	          -1.40	          10.54	            .76	     2073071.00	      -84022.00	       44707.00	          33.13	            .71	          -4.20	           6.32	           8.50	         102.24	          48.42	Y
201606	1218   	泰山        	            .38	           2.47	           3.76	          10.40	           1.32	     3839223.00	      130683.00	      237905.00	          17.21	            .98	           3.71	          -1.13	          13.43	         135.91	          57.23	Y
201606	1219   	福壽        	            .26	           2.14	           1.19	          11.95	           1.27	     5313398.00	       46414.00	      168096.00	           9.31	            .95	           1.45	          14.74	          41.53	         239.04	          51.84	Y
