西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201609	000116 	日盛證券    	            .55	           1.68	           2.93	          18.81	              -	              -	      638268.00	      918112.00	          87.89	            .43	          28.68	          -9.01	              -	         145.74	          64.03	Y
201609	000930 	華南永昌證券	            .36	           1.41	           2.49	          14.32	              -	              -	      291492.00	      450663.00	          90.66	            .37	          17.48	           8.50	              -	         138.01	          65.96	Y
201609	000960 	富邦證券    	            .97	           2.15	           5.01	          19.95	              -	              -	     1621987.00	     1964732.00	          91.73	            .37	          31.44	          14.63	              -	         141.48	          66.23	Y
201609	0009A0 	永豐金證券  	            .73	           1.35	           4.65	          15.87	              -	              -	     1188888.00	     1772128.00	          81.27	            .37	          22.41	          17.54	              -	         120.39	          81.92	Y
201609	1101   	台泥        	           1.23	           5.15	           4.05	          28.49	           1.25	    63016298.00	     6086680.00	    14529670.00	          18.42	            .84	          12.33	          -8.83	          15.09	         119.67	          45.13	Y
201609	1102   	亞泥        	            .75	           3.57	           1.84	          36.16	            .76	    44097107.00	     2701980.00	     8789280.00	          12.84	            .73	           7.54	         -10.20	          14.81	          79.91	          41.59	Y
201609	1103   	嘉泥        	           -.19	            .77	           -.69	          21.98	            .49	     1769475.00	     -103717.00	      319729.00	           2.90	            .57	          -3.38	           7.51	         146.59	         404.79	          38.76	Y
201609	1104   	環泥        	           1.91	           6.91	           7.46	          25.34	            .97	     3362708.00	     1202080.00	     1385814.00	          13.51	            .86	          38.03	         -10.82	          26.63	         105.43	          19.39	Y
201609	1108   	幸福        	            .67	           7.61	           5.87	          11.72	            .79	     3152985.00	      273547.00	      604984.00	          17.32	            .74	          11.11	         -16.07	         -27.36	         205.54	          38.83	Y
201609	1109   	信大        	            .22	           4.31	           1.21	          14.13	            .73	     3025702.00	       76467.00	      353145.00	          13.59	            .61	           3.26	          -5.59	          43.22	         238.80	          24.58	Y
201609	1110   	東泥        	            .22	            .25	           2.61	          15.03	           1.03	     1036608.00	      226593.00	      224337.00	            .94	            .95	          19.05	         -20.71	         -90.95	         641.41	           6.85	Y
201609	1201   	味全        	           -.89	           -.24	          -5.95	          10.10	           1.76	    13011614.00	     -409728.00	      493930.00	          29.23	            .84	          -3.83	         -15.51	         -10.27	          95.16	          78.01	Y
201609	1203   	味王        	           1.26	           7.81	           8.27	          17.88	           1.24	     4718866.00	      423616.00	      671335.00	          26.31	            .68	          11.52	          -6.95	           2.57	         212.81	          39.72	Y
201609	1210   	大成        	           2.33	           8.74	          10.17	          21.10	           1.38	    55421051.00	     1989195.00	     3607526.00	          13.17	            .79	           4.09	          -5.62	          17.75	         124.11	          47.62	Y
201609	1213   	大飲        	            .34	           4.22	           2.78	          12.33	           1.22	      535562.00	       19142.00	       37013.00	          13.37	            .96	           4.35	         -11.05	         -24.97	         265.21	          23.50	Y
201609	1215   	卜蜂        	           3.16	          13.56	          15.15	          22.83	           1.65	    13327847.00	      867188.00	     1379859.00	          14.71	           1.22	           8.04	           7.70	          34.25	         111.79	          41.47	Y
201609	1216   	統一        	           2.33	          10.29	          12.91	          16.53	           3.56	   328641400.00	    19827173.00	    42174341.00	          33.95	           1.19	           8.00	           -.53	            .47	          95.23	          59.93	Y
201609	1217   	愛之味      	           -.13	           1.18	           -.87	          10.48	            .75	     3597039.00	      -52251.00	      158543.00	          32.61	            .72	          -1.34	            .65	           1.93	          92.08	          49.79	Y
201609	1218   	泰山        	            .81	           5.13	           7.74	          10.81	           1.54	     6141158.00	      274059.00	      441292.00	          18.09	           1.08	           4.85	           -.94	           7.25	         149.22	          53.88	Y
201609	1219   	福壽        	            .38	           3.03	           1.34	          12.06	           1.27	     7978629.00	       52548.00	      235108.00	           9.07	            .97	           1.13	          11.93	          25.72	         232.43	          51.22	Y
